DBMS,Rank_Apr-2025,Rank_Mar-2025,Rank_Apr-2024,Database Model,Score_Apr-2025,Score_Mar-2025,Score_Apr-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Microsoft Azure Data Explorer,85.0,87.0,69.0,"Relational, Multi-model",2.94,0.00,-2.22,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes,2019,,N,Y
Virtuoso,86.0,80.0,83.0,Multi-model,2.93,-0.27,-1.27,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no,1998,2023,Y,N
Milvus,87.0,91.0,144.0,Vector,2.9,+0.13,+1.09,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.4.4, May 2024",Open Source,Apache Version 2.0,no,2019,2024,Y,N
SAP SQL Anywhere,88.0,83.0,78.0,Relational,2.9,-0.23,-1.67,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no,1992,2015,N,N
ArangoDB,89.0,88.0,87.0,Multi-model,2.82,-0.04,-0.94,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no,2012,2023,Y,N
Adabas,90.0,90.0,91.0,Multivalue,2.76,-0.03,-0.82,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no,1971,,N,N
OrientDB,91.0,92.0,97.0,Multi-model,2.71,-0.01,-0.56,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no,2010,2024,Y,N
HyperSQL,92.0,85.0,85.0,Relational,2.7,-0.33,-1.21,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no,2001,2023,Y,N
Google Cloud Bigtable,93.0,95.0,92.0,Multi-model,2.67,+0.01,-0.90,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes,2015,,N,Y
Microsoft Azure Table Storage,94.0,97.0,73.0,Wide column,2.63,-0.03,-2.29,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes,2012,,N,Y
GraphDB,95.0,94.0,100.0,Multi-model,2.57,-0.11,-0.53,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.4, October 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no,2000,2023,N,N
Memgraph,96.0,98.0,102.0,Graph,2.57,-0.04,-0.43,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,Open Source,BSL 1.1; commercial license for enterprise edition available,no,2017,,Y,N
Google Cloud Spanner,97.0,93.0,105.0,Relational,2.56,-0.15,-0.34,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes,2017,,N,Y
RavenDB,98.0,99.0,101.0,"Document, Multi-model",2.5,-0.03,-0.50,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no,2010,2022,Y,N
IBM Cloudant,99.0,101.0,108.0,Document,2.5,+0.00,-0.24,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes,2010,,N,Y
Apache Accumulo,100.0,102.0,90.0,Wide column,2.45,+0.02,-1.16,https://db-engines.com/en/system/Apache+Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no,2008,2022,Y,N
Apache Jena - TDB,101.0,96.0,86.0,RDF,2.44,-0.22,-1.41,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no,2000,2023,Y,N
GemFire,102.0,100.0,98.0,"Key-value, Multi-model",2.41,-0.10,-0.71,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no,2004,2022,N,N
SAP IQ,103.0,103.0,96.0,Relational,2.34,+0.01,-0.93,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no,1994,2019,N,N
OceanBase,104.0,105.0,153.0,"Relational, Multi-model",2.32,0.00,+0.76,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2010.0,"4.3.0, April 2024",Open Source,Commercial license available,no,2010,2024,Y,N
RethinkDB,105.0,104.0,106.0,"Document, Multi-model",2.27,-0.06,-0.57,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no,2009,2020,Y,N
Qdrant,106.0,112.0,171.0,Vector,2.23,+0.20,+1.00,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
YugabyteDB,107.0,109.0,99.0,"Relational, Multi-model",2.23,+0.01,-0.88,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2024.2, December 2024",Open Source,Apache 2.0,no,2017,2024,Y,N
Coveo,108.0,108.0,117.0,Search engine,2.22,-0.05,-0.12,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes,2012,,N,Y
DolphinDB,109.0,106.0,82.0,Multi-model,2.2,-0.09,-2.02,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no,2018,2022,N,N
InterSystems IRIS,110.0,107.0,81.0,Multi-model,2.2,-0.09,-2.19,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2023.3, June 2023",commercial,,no,2018,2023,N,N
Amazon Neptune,111.0,111.0,112.0,Multi-model,2.11,+0.04,-0.47,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes,2017,,N,Y
PouchDB,112.0,116.0,116.0,Document,2.07,+0.12,-0.28,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no,2012,2019,Y,N
"UniData,UniVerse",113.0,115.0,93.0,Multivalue,2.01,+0.04,-1.47,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no,1985,,N,N
GridDB,114.0,114.0,132.0,"Time Series, Multi-model",2.0,+0.01,-0.02,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no,2013,2022,Y,N
Citus,115.0,119.0,123.0,"Relational, Multi-model",1.99,+0.05,-0.16,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no,2010,2018,Y,N
Infinispan,116.0,113.0,104.0,Key-value,1.98,-0.02,-0.94,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no,2009,2023,Y,N
MaxDB,117.0,117.0,111.0,Relational,1.96,+0.01,-0.69,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10.12, February 2024",commercial,Limited community edition free,no,1984,2024,N,N
Percona Server for MySQL,118.0,118.0,121.0,Relational,1.92,-0.03,-0.29,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.36-28, 2024",Open Source,GPL version 2,no,2008,2024,Y,N
Chroma,119.0,120.0,127.0,Vector,1.9,+0.02,-0.19,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no,,,Y,N
LevelDB,120.0,110.0,107.0,Key-value,1.9,-0.25,-0.85,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no,2011,2021,Y,N
Apache Drill,121.0,123.0,119.0,Multi-model,1.89,+0.08,-0.39,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no,2012,2023,Y,N
4D,122.0,121.0,110.0,Relational,1.89,+0.02,-0.79,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no,1984,2023,N,N
Weaviate,123.0,137.0,138.0,Vector,1.86,+0.28,-0.03,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no,2019,2023,Y,N
Apache Phoenix,124.0,122.0,130.0,Relational,1.81,-0.02,-0.21,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,A scale-out RDBMS with evolutionary schema built on Apache HBase,2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no,2014,2019,Y,N
Amazon DocumentDB,125.0,128.0,137.0,Document,1.79,+0.03,-0.10,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes,2019,,N,Y
CloudKit,126.0,126.0,113.0,Document,1.78,+0.01,-0.79,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes,2016,,N,Y
LMDB,127.0,124.0,118.0,Key-value,1.75,-0.06,-0.59,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no,2011,2024,Y,N
IMS,128.0,125.0,142.0,Navigational,1.72,-0.07,-0.09,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no,1966,2017,N,N
Oracle Berkeley DB,129.0,129.0,114.0,Multi-model,1.71,-0.03,-0.82,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no,1994,2020,Y,N
JanusGraph,130.0,130.0,135.0,Graph,1.7,-0.03,-0.21,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"1.0.0, October 2023",Open Source,Apache 2.0,no,2017,2023,Y,N
TDengine,131.0,127.0,109.0,"Time Series, Multi-model",1.66,-0.09,-1.01,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"AGPL V3, also commercial editions available",no,2019,2022,Y,N
Oracle Coherence,132.0,132.0,131.0,Key-value,1.66,0.00,-0.36,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no,2007,2023,N,N
EDB Postgres,133.0,131.0,122.0,"Relational, Multi-model",1.64,-0.02,-0.54,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no,2005,2021,N,N
Amazon SimpleDB,134.0,134.0,139.0,Key-value,1.63,+0.02,-0.26,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes,2007,,N,Y
Amazon CloudSearch,135.0,135.0,140.0,Search engine,1.62,+0.01,-0.25,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes,2012,,N,Y
NebulaGraph,136.0,139.0,125.0,Graph,1.61,+0.05,-0.51,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no,2019,,Y,N
Stardog,137.0,136.0,129.0,Multi-model,1.58,-0.01,-0.47,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no,2010,2020,N,N
MonetDB,138.0,133.0,148.0,"Relational, Multi-model",1.57,-0.05,-0.15,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no,2004,2023,Y,N
RRDtool,139.0,140.0,124.0,Time Series,1.55,+0.02,-0.58,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no,1999,2022,Y,N
EXASOL,140.0,142.0,120.0,Relational,1.51,+0.02,-0.74,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no,2000,,N,N
SpatiaLite,141.0,138.0,149.0,"Spatial, Multi-model",1.5,-0.07,-0.22,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no,2008,2020,Y,N
GBase,142.0,148.0,190.0,Relational,1.49,+0.08,+0.45,https://db-engines.com/en/system/GBase,,"General Data Technology Co., Ltd.","Widely used RDBMS in China, including analytical, transactional, distributed transactional, and cloud-native data warehousing.",2004.0,"GBase 8a, GBase 8s, GBase 8c",commercial,,no,2004,,N,N
Datomic,143.0,143.0,145.0,Relational,1.48,0.00,-0.28,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.7180, July 2024",commercial,limited edition free,no,2012,2024,N,N
Tarantool,144.0,149.0,150.0,Multi-model,1.47,+0.07,-0.21,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no,2008,2022,Y,N
Fauna,145.0,141.0,154.0,Multi-model,1.46,-0.06,-0.09,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes,2014,,N,Y
OpenTSDB,146.0,146.0,147.0,Time Series,1.41,0.00,-0.32,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,Scalable Time Series DBMS based on HBase,2011.0,,Open Source,LGPL,no,2011,,Y,N
TigerGraph,147.0,150.0,141.0,Graph,1.41,+0.02,-0.42,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no,2017,,N,N
Apache IoTDB,148.0,145.0,176.0,Time Series,1.4,-0.04,+0.20,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
VictoriaMetrics,149.0,152.0,161.0,Time Series,1.34,-0.04,-0.08,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
BaseX,150.0,153.0,136.0,Native XML,1.34,-0.04,-0.56,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"11.2, August 2024",Open Source,BSD license,no,2007,2024,Y,N
GridGain,151.0,156.0,155.0,Multi-model,1.32,+0.01,-0.21,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on Apache Ignite",2007.0,GridGain 8.5.1,"commercial, open source",,no,2007,,"commercial, open source",N
D3,152.0,151.0,163.0,Multivalue,1.32,-0.06,-0.08,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no,1999,,N,N
jBASE,153.0,147.0,160.0,Multivalue,1.31,-0.10,-0.12,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no,1991,,N,N
Geode,154.0,154.0,133.0,Key-value,1.31,-0.05,-0.68,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no,2002,2017,Y,N
Alibaba Cloud PolarDB,155.0,166.0,257.0,Relational,1.29,+0.11,+0.77,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes,,,N,Y
Tibero,156.0,155.0,143.0,Relational,1.27,-0.07,-0.54,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"7, September 2022",commercial,,no,2003,2022,N,N
Empress,157.0,144.0,134.0,Relational,1.25,-0.21,-0.73,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no,1981,2010,N,N
Actian NoSQL Database,158.0,157.0,152.0,Object oriented,1.24,-0.03,-0.34,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no,1988,2017,N,N
HFSQL,159.0,168.0,170.0,Relational,1.22,+0.06,-0.05,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no,,,N,N
Amazon Timestream,160.0,159.0,183.0,Time Series,1.22,-0.02,+0.10,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes,2018,,N,Y
VoltDB,161.0,161.0,159.0,Relational,1.21,-0.02,-0.25,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no,2010,2022,Y,N
IBM Db2 warehouse,162.0,167.0,166.0,Relational,1.19,+0.02,-0.15,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes,2014,,N,Y
Db4o,163.0,160.0,156.0,Object oriented,1.19,-0.05,-0.33,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no,2001,,Y,N
Dgraph,164.0,162.0,158.0,Graph,1.19,-0.03,-0.30,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
ObjectStore,165.0,165.0,164.0,Object oriented,1.18,-0.01,-0.17,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no,1988,2014,N,N
GigaSpaces,166.0,171.0,192.0,Multi-model,1.17,+0.03,+0.15,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no,2000,2020,Y,N
Meilisearch,167.0,163.0,174.0,Multi-model,1.16,-0.04,-0.05,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS",,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no,2020,,Y,N
HEAVY.AI,168.0,164.0,126.0,"Relational, Multi-model",1.14,-0.05,-0.96,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no,2016,2022,Y,N
Valkey,169.0,174.0,,Key-value,1.14,+0.06,,https://db-engines.com/en/system/Valkey,,,Open source key/value datastore,2024.0,"Valkey 8.0.1, October 2024",Open Source,,no,2024,2024,Y,N
Mnesia,170.0,170.0,162.0,Document,1.13,-0.01,-0.28,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no,1999,2018,Y,N
TimesTen,171.0,169.0,165.0,Relational,1.13,-0.02,-0.23,https://db-engines.com/en/system/TimesTen,,Oracle,An in-memory SQL relational database that delivers microsecond response and high throughput for OLTP applications. TimesTen can be deployed as a standalone database or as a cache to a backend Oracle database.,1998.0,Release 22.1,commercial,,no,1998,,N,N
mSQL,172.0,158.0,151.0,Relational,1.11,-0.16,-0.56,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no,1994,2021,N,N
ObjectBox,173.0,172.0,172.0,Multi-model,1.09,0.00,-0.13,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS",ObjectBox Limited,"Lightweight, fast on-device database for IoT, Mobile and Embedded devices, persisting and synchronising objects and vectors",2017.0,4.0 (May 2024),Bindings are released under Apache 2.0,Apache License 2.0,no,2017,2024,bindings are released under apache 2.0,N
StarRocks,174.0,181.0,182.0,Relational,1.08,+0.08,-0.04,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"3.3, June 2024",Open Source,Apache Version 2.0,no,2020,2024,Y,N
Datameer,175.0,182.0,173.0,Document,1.08,+0.08,-0.14,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no,2009,,N,N
Giraph,176.0,175.0,177.0,Graph,1.06,-0.01,-0.13,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no,2013,2020,Y,N
LiteDB,177.0,173.0,168.0,Document,1.05,-0.04,-0.26,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no,2014,,Y,N
Apache Kylin,178.0,176.0,175.0,Relational,1.01,-0.04,-0.19,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no,2015,2020,Y,N
SurrealDB,179.0,183.0,204.0,Multi-model,1.01,+0.01,+0.10,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.5.0, May 2024",Open Source,,no,2022,2024,Y,N
PlanetScale,180.0,185.0,146.0,"Relational, Multi-model",1.0,+0.02,-0.75,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes,2020,,N,Y
SQLBase,181.0,187.0,167.0,Relational,1.0,+0.02,-0.34,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no,1985,,N,N
