DBMS,Rank_Apr-2023,Rank_Mar-2023,Rank_Apr-2022,Database Model,Score_Apr-2023,Score_Mar-2023,Score_Apr-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
RRDtool,106.0,107.0,112.0,Time Series,3.19,+0.17,+0.61,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
EDB Postgres,107.0,106.0,124.0,"Relational, Multi-model",3.15,+0.13,+1.06,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
HEAVY.AI,108.0,119.0,156.0,"Relational, Multi-model",3.15,+0.39,+1.88,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
Percona Server for MySQL,109.0,104.0,115.0,Relational,3.11,+0.04,+0.64,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.28-20, 2022",Open Source,GPL version 2,no
Apache Phoenix,110.0,103.0,99.0,Relational,3.09,+0.01,-0.07,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
Apache Drill,111.0,108.0,106.0,Multi-model,3.09,+0.08,+0.14,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
IMS,112.0,117.0,105.0,Navigational,3.02,+0.22,+0.05,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
LMDB,113.0,110.0,117.0,Key-value,2.98,-0.01,+0.52,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.29, March 2021",Open Source,,no
SAP Advantage Database Server,114.0,109.0,90.0,Relational,2.9,-0.10,-0.89,https://db-engines.com/en/system/SAP+Advantage+Database+Server,,"Sybase, SAP","Low-cost,RDBMS,with access to ISAM and FoxPro data structures",1993.0,,commercial,,no
TiDB,115.0,113.0,94.0,"Relational, Multi-model",2.88,-0.04,-0.63,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"7.0.0, March 2023",Open Source,Apache 2.0,no
CloudKit,116.0,111.0,113.0,Document,2.78,-0.20,+0.24,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
Apache Druid,117.0,122.0,98.0,Multi-model,2.76,+0.13,-0.42,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"25.0.0, January 2023",Open Source,Apache license v2,no
4D,118.0,114.0,107.0,Relational,2.75,-0.13,-0.16,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v18 R5, January 2021",commercial,,no
EXASOL,119.0,118.0,95.0,Relational,2.74,-0.02,-0.71,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
Geode,120.0,126.0,129.0,Key-value,2.73,+0.22,+0.86,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
Amazon Neptune,121.0,123.0,110.0,Multi-model,2.69,+0.10,-0.08,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
Citus,122.0,116.0,138.0,"Relational, Multi-model",2.66,-0.15,+1.01,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
DolphinDB,123.0,120.0,141.0,"Time Series, Multi-model",2.61,-0.08,+0.99,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
TDengine,124.0,127.0,187.0,"Time Series, Multi-model",2.61,+0.18,+1.74,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"GPL V3, also commercial editions available",no
Amazon SimpleDB,125.0,115.0,122.0,Key-value,2.58,-0.25,+0.43,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
DuckDB,126.0,134.0,274.0,Relational,2.57,+0.42,+2.30,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"0.2, August 2020",Open Source,MIT License,no
Oracle Coherence,127.0,121.0,114.0,Key-value,2.5,-0.17,0.00,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"12c, September 2016",commercial,,no
JanusGraph,128.0,124.0,116.0,Graph,2.44,-0.11,-0.02,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.3, February 2023",Open Source,Apache 2.0,no
GraphDB,129.0,131.0,108.0,Multi-model,2.33,+0.01,-0.47,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.2, February 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no
Amazon CloudSearch,130.0,125.0,118.0,Search engine,2.33,-0.18,+0.06,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
OceanBase,131.0,142.0,,"Relational, Multi-model",2.33,+0.28,,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2011.0,"3.2.3, March 2022",Open Source,Commercial license available,no
Coveo,132.0,128.0,119.0,Search engine,2.28,-0.12,+0.07,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
jBASE,133.0,140.0,128.0,Multivalue,2.27,+0.20,+0.35,https://db-engines.com/en/system/jBASE,,Zumasys,A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
GridGain,134.0,130.0,123.0,Multi-model,2.26,-0.08,+0.16,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,GridGain 8.5.1,commercial,,no
TimesTen,135.0,135.0,136.0,Relational,2.26,+0.14,+0.51,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,11 Release 2 (11.2.2.8.0),commercial,,no
MonetDB,136.0,129.0,130.0,"Relational, Multi-model",2.26,-0.11,+0.39,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Jul2021-SP2, July 2021",Open Source,Mozilla Public License 2.0,no
QuestDB,137.0,146.0,165.0,"Time Series, Multi-model",2.24,+0.35,+1.08,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Limited,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
SpatiaLite,138.0,138.0,127.0,"Spatial DBMS, Multi-model",2.18,+0.09,+0.24,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
Tibero,139.0,136.0,125.0,Relational,2.18,+0.06,+0.20,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"6, April 2015",commercial,,no
OpenTSDB,140.0,132.0,132.0,Time Series,2.18,-0.14,+0.36,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no
NebulaGraph,141.0,150.0,167.0,Graph,2.17,+0.34,+1.04,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
VoltDB,142.0,139.0,140.0,Relational,2.13,+0.05,+0.50,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,,Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
Memgraph,143.0,154.0,261.0,Graph,2.12,+0.34,+1.76,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no
Db4o,144.0,143.0,137.0,Object oriented,2.05,+0.02,+0.37,https://db-engines.com/en/system/Db4o,,,,2001.0,,Open Source,commercial license available for existing customers only,no
Datomic,145.0,133.0,134.0,Relational,2.03,-0.22,+0.23,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,,commercial,limited edition free,no
TigerGraph,146.0,144.0,120.0,Graph,2.03,+0.07,-0.16,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
GridDB,147.0,149.0,154.0,"Time Series, Multi-model",2.02,+0.19,+0.74,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,,Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
Mnesia,148.0,148.0,143.0,Document,2.01,+0.17,+0.45,https://db-engines.com/en/system/Mnesia,,,,1999.0,,Open Source,proprietary license,no
IBM Db2 warehouse,149.0,145.0,131.0,Relational,2.0,+0.09,+0.14,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
BaseX,150.0,137.0,139.0,Native XML,1.96,-0.15,+0.31,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,,Open Source,BSD license,no
ObjectStore,151.0,141.0,148.0,Object oriented,1.96,-0.10,+0.58,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,,commercial,,no
Empress,152.0,151.0,173.0,Relational,1.92,+0.11,+0.90,https://db-engines.com/en/system/Empress,,,,1981.0,,commercial,,no
Actian NoSQL Database,153.0,155.0,144.0,Object oriented,1.87,+0.08,+0.43,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,,commercial,,no
Amazon DocumentDB,154.0,153.0,133.0,Document,1.83,+0.03,+0.02,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
SQLBase,155.0,147.0,155.0,Relational,1.81,-0.04,+0.53,https://db-engines.com/en/system/SQLBase,,,,1985.0,,commercial,,no
Tarantool,156.0,152.0,149.0,"Key-value, Multi-model",1.8,-0.01,+0.42,https://db-engines.com/en/system/Tarantool,"Key-value store,Document store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,,Open Source,BSD,no
NonStop SQL,157.0,166.0,171.0,Relational,1.78,+0.22,+0.72,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no
Fauna,158.0,157.0,146.0,Multi-model,1.74,-0.03,+0.33,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
Cubrid,159.0,167.0,159.0,Relational,1.72,+0.17,+0.46,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,,Open Source,Apache Version 2.0,no
Stardog,160.0,158.0,126.0,Multi-model,1.71,-0.06,-0.27,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,,commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
Firebolt,161.0,159.0,,Relational,1.71,-0.03,,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
Matisse,162.0,164.0,200.0,Object oriented,1.7,+0.11,+0.93,https://db-engines.com/en/system/Matisse,,Matisse Software Inc.,Object oriented DBMS providing ANSI SQL,1986.0,,commercial,free developer license available,no
ObjectBox,163.0,169.0,181.0,"Object oriented, Multi-model",1.66,+0.13,+0.71,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",ObjectBox Limited,"Extremely fast embedded database for small devices, IoT and Mobile",2017.0,,Open Source,Apache License 2.0,no
Dgraph,164.0,156.0,142.0,Graph,1.65,-0.13,+0.04,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
Oracle Rdb,165.0,170.0,161.0,Relational,1.65,+0.12,+0.44,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no
Apache Kylin,166.0,160.0,152.0,Relational,1.64,-0.05,+0.31,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
Datameer,167.0,162.0,153.0,Document,1.61,-0.04,+0.30,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
GT.M,168.0,165.0,150.0,Key-value,1.6,+0.01,+0.23,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
LiteDB,169.0,161.0,147.0,Document,1.59,-0.06,+0.20,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
DataEase,170.0,163.0,166.0,Relational,1.55,-0.05,+0.42,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
ZODB,171.0,177.0,183.0,Key-value,1.52,+0.11,+0.60,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.6.0, June 2020",Open Source,,no
Apache HAWQ,172.0,179.0,170.0,Relational,1.51,+0.12,+0.40,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no
MatrixOne,173.0,176.0,,Relational,1.51,+0.10,,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
Altibase,174.0,180.0,176.0,Relational,1.51,+0.14,+0.53,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.1.0.5.3, March 2021",Open Source,since February 2018,no
FoundationDB,175.0,175.0,151.0,Multi-model,1.48,+0.01,+0.13,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
mSQL,176.0,173.0,135.0,Relational,1.47,-0.02,-0.32,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no
Pinecone,177.0,174.0,,Search engine,1.47,-0.01,,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
GigaSpaces,178.0,171.0,177.0,Multi-model,1.46,-0.06,+0.49,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
GBase,179.0,172.0,168.0,Relational,1.43,-0.09,+0.30,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no
Model 204,180.0,184.0,164.0,Multivalue,1.41,+0.07,+0.24,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no
EventStoreDB,181.0,185.0,178.0,Event,1.39,+0.10,+0.43,https://db-engines.com/en/system/EventStoreDB,,,,2012.0,,Open Source,,no
IDMS,182.0,181.0,186.0,Navigational,1.39,+0.03,+0.50,https://db-engines.com/en/system/IDMS,,,,1973.0,,commercial,,no
Giraph,183.0,168.0,157.0,Graph,1.38,-0.17,+0.11,https://db-engines.com/en/system/Giraph,,,,2013.0,,Open Source,Apache Version 2,no
Xapian,184.0,189.0,201.0,Search engine,1.37,+0.14,+0.63,https://db-engines.com/en/system/Xapian,,,,1986.0,,Open Source,GPLv2,no
NuoDB,185.0,188.0,175.0,Relational,1.35,+0.11,+0.37,https://db-engines.com/en/system/NuoDB,,,,2013.0,,commercial,limited edition free,no
NCache,186.0,187.0,196.0,"Key-value, Multi-model",1.33,+0.08,+0.54,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",,,2005.0,,Open Source,Enterprise Edition available,no
openGauss,187.0,196.0,,"Relational, Multi-model",1.32,+0.13,,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",,,2019.0,,Open Source,,no
Infobright,188.0,178.0,172.0,Relational,1.3,-0.10,+0.27,https://db-engines.com/en/system/Infobright,,,,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
HFSQL,189.0,182.0,145.0,Relational,1.29,-0.05,-0.14,https://db-engines.com/en/system/HFSQL,,,,,,commercial,,no
Sedna,190.0,194.0,163.0,Native XML,1.29,+0.09,+0.12,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
AllegroGraph,191.0,200.0,162.0,Multi-model,1.29,+0.11,+0.10,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Spatial DBMS",,,2004.0,,commercial,Limited community edition free,no
Meilisearch,192.0,198.0,234.0,Search engine,1.28,+0.11,+0.75,https://db-engines.com/en/system/Meilisearch,,,,2020.0,,Open Source,MIT License,no
Northgate Reality,193.0,195.0,220.0,Multivalue,1.28,+0.09,+0.68,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
TypeDB,194.0,190.0,211.0,Multi-model,1.25,+0.02,+0.56,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS",,,2016.0,,Open Source,"GPL Version 3, commercial licenses available",no
RDF4J,195.0,203.0,204.0,RDF,1.24,+0.09,+0.52,https://db-engines.com/en/system/RDF4J,,,,2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no
Perst,196.0,186.0,192.0,Object oriented,1.22,-0.05,+0.41,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no
HPE Ezmeral Data Fabric,197.0,201.0,189.0,Multi-model,1.22,+0.05,+0.38,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store",,,2009.0,,commercial,,no
solidDB,198.0,202.0,198.0,Relational,1.17,+0.01,+0.38,https://db-engines.com/en/system/solidDB,,,,1992.0,,commercial,,no
D3,199.0,197.0,158.0,Multivalue,1.16,-0.02,-0.11,https://db-engines.com/en/system/D3,,,,1999.0,,commercial,,no
Blazegraph,200.0,206.0,180.0,Multi-model,1.16,+0.10,+0.21,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",,,2006.0,,Open Source,extended commercial license available,no
DBISAM,201.0,193.0,209.0,Relational,1.16,-0.05,+0.47,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no
Hibari,202.0,192.0,250.0,Key-value,1.14,-0.08,+0.71,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no
1010data,203.0,191.0,160.0,Relational,1.13,-0.09,-0.09,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
BigchainDB,204.0,209.0,199.0,Document,1.12,+0.08,+0.35,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no
VictoriaMetrics,205.0,215.0,225.0,Time Series,1.12,+0.10,+0.55,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.89, March 2023",Open Source,Apache Version 2.0,no
SQL.JS,206.0,183.0,169.0,Relational,1.12,-0.23,-0.01,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no
Dolt,207.0,204.0,219.0,"Relational, Multi-model",1.11,-0.04,+0.51,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
PlanetScale,208.0,221.0,,"Relational, Multi-model",1.1,+0.14,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
TDSQL for MySQL,209.0,213.0,238.0,"Relational, Multi-model",1.09,+0.07,+0.57,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes
WebSphere eXtreme Scale,210.0,208.0,217.0,Key-value,1.07,+0.02,+0.46,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no
Amazon Timestream,211.0,217.0,174.0,Time Series,1.05,+0.05,+0.06,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
Actian Vector,212.0,199.0,197.0,Relational,1.04,-0.13,+0.26,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no
GeoMesa,213.0,219.0,193.0,Spatial DBMS,1.02,+0.02,+0.22,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"4.0.0, March 2023",Open Source,Apache License 2.0,no
Yellowbrick,214.0,216.0,207.0,Relational,1.02,+0.01,+0.32,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
FrontBase,215.0,205.0,188.0,Relational,1.02,-0.11,+0.16,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no
Vitess,216.0,222.0,,"Relational, Multi-model",1.01,+0.05,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
M3DB,217.0,214.0,262.0,Time Series,1.0,-0.02,+0.65,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
OpenBase,218.0,210.0,203.0,Relational,0.99,-0.05,+0.26,https://db-engines.com/en/system/OpenBase,,,,1991.0,,commercial,,no
Splice Machine,219.0,226.0,190.0,Relational,0.98,+0.10,+0.16,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no
Kognitio,220.0,207.0,191.0,Relational,0.98,-0.08,+0.15,https://db-engines.com/en/system/Kognitio,,,,1992.0,,commercial,,no
SciDB,221.0,212.0,214.0,Multivalue,0.95,-0.07,+0.31,https://db-engines.com/en/system/SciDB,,,,2008.0,,Open Source,,no
eXist-db,222.0,211.0,184.0,Native XML,0.95,-0.08,+0.03,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no
MapDB,223.0,225.0,230.0,Key-value,0.94,+0.02,+0.39,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no
CrateDB,224.0,237.0,179.0,Multi-model,0.93,+0.11,-0.03,https://db-engines.com/en/system/CrateDB,"Document store,Time Series DBMS,Relational DBMS,Search engine",,,2013.0,,Open Source,,no
NexusDB,225.0,218.0,223.0,Relational,0.89,-0.11,+0.31,https://db-engines.com/en/system/NexusDB,,,,2003.0,,commercial,,no
ObjectDB,226.0,220.0,218.0,Object oriented,0.89,-0.09,+0.29,https://db-engines.com/en/system/ObjectDB,,,,2010.0,,commercial,,no
Datacom/DB,227.0,230.0,195.0,Relational,0.87,+0.02,+0.07,https://db-engines.com/en/system/Datacom%2FDB,,,,1972.0,,commercial,,no
BoltDB,228.0,232.0,232.0,Key-value,0.87,+0.03,+0.32,https://db-engines.com/en/system/BoltDB,,,,2013.0,,Open Source,MIT License,no
