Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Riak KV,"Distributed, fault tolerant key-value store",Key-value store,,"Score,3.35,Rank,#78,Overall,#9,Key-value stores",,www.tiot.jp/riak-docs/riak/kv/latest,"OpenSource, formerly Basho Technologies",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no,,Erlang,"Linux,OS X",schema-free,no,no,restricted,no,"HTTP API,Native Erlang Interface","C,C#,C++,Clojure,Dart,Erlang,Go,Groovy,Haskell,Java,JavaScript,Lisp,Perl,PHP,Python,Ruby,Scala,Smalltalk",Erlang,yes,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,,"yes, using Riak Security"
Datastax Enterprise,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",Wide column store,"Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS","Score,3.31,Rank,#79,Overall,#5,Wide column stores",www.datastax.com/products/datastax-enterprise,docs.datastax.com,DataStax,2011.0,"6.8, April 2020",commercial,,no,,Java,"Linux,OS X",schema-free,yes,no,yes,SQL-like DML and DDL statements (CQL); Spark SQL,"Proprietary protocol,TinkerPop Gremlin","C,C#,C++,Java,JavaScript (Node.js),PHP,Python,Ruby",no,yes,Sharding,"configurable replication factor, datacenter aware, advanced replication for edge computing",yes,"Immediate Consistency,Tunable Consistency",no,no,yes,yes,yes,Access rights for users can be defined per object
SingleStore,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",Relational DBMS,"Document store,Spatial DBMS,Time Series DBMS,Vector DBMS","Score,3.30,Rank,#80,Overall,#43,Relational DBMS",www.singlestore.com,docs.singlestore.com,SingleStore Inc.,2013.0,"8.5, January 2024",commercial,free developer edition available,no,,"C++, Go",Linux,yes,yes,no,yes,yes,"Cluster Management API,HTTP API,JDBC,MongoDB API,ODBC","Bash,C,C#,Java,JavaScript (Node.js),Python",yes,no,Sharding,Source-replica replication,no,Immediate Consistency,no,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,"Fine grained access control via users, groups and roles"
SAP SQL Anywhere,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",Relational DBMS,,"Score,3.30,Rank,#81,Overall,#44,Relational DBMS",www.sap.com/products/technology-platform/sql-anywhere.html,help.sap.com/docs/SAP_SQL_Anywhere,SAP,1992.0,"17, July 2015",commercial,,no,,,"AIX,HP-UX,Linux,OS X,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,HTTP API,JDBC,ODBC","C,C#,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Ruby","yes, in C/C++, Java, .Net or Perl",yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Ehcache,A widely adopted Java cache with tiered storage options,Key-value store,,"Score,3.24,Rank,#82,Overall,#10,Key-value stores",www.ehcache.org,www.ehcache.org/documentation,"Terracotta Inc, owned by Software AG",2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no,,Java,All OS with a Java VM,schema-free,yes,no,no,no,JCache,Java,no,yes,Sharding,yes,no,"Tunable Consistency (Strong, Eventual, Weak)",no,yes,yes,yes,yes,no
Apache Ignite,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.","Key-value store,Relational DBMS",,"Score,3.12,Rank,#83,Overall,#11,Key-value stores,#45,Relational DBMS",ignite.apache.org,apacheignite.readme.io/docs,Apache Software Foundation,2015.0,"2.16.0, December 2023",Open Source,Apache 2.0,no,,"C++, Java, .Net","Linux,OS X,Solaris,Windows",yes,yes,yes,yes,"ANSI-99 for query and DML statements, subset of DDL","HDFS API,Hibernate,JCache,JDBC,ODBC,Proprietary protocol,RESTful HTTP API,Spring Data","C#,C++,Java,PHP,Python,Ruby,Scala",yes (compute grid and cache interceptors can be used instead),yes (cache interceptors and events),Sharding,yes (replicated cache),yes (compute grid and hadoop accelerator),Immediate Consistency,no,ACID,yes,yes,yes,Security Hooks for custom implementations
Microsoft Azure Data Explorer,Fully managed big data interactive analytics platform,Relational DBMS,"Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS","Score,3.08,Rank,#84,Overall,#46,Relational DBMS",azure.microsoft.com/services/data-explorer,docs.microsoft.com/en-us/azure/data-explorer,Microsoft,2019.0,cloud service with continuous releases,commercial,,yes,,,hosted,Fixed schema with schema-less datatypes (dynamic),yes,yes,all fields are automatically indexed,"Kusto Query Language (KQL), SQL subset","Microsoft SQL Server communication protocol (MS-TDS),RESTful HTTP API",".Net,Go,Java,JavaScript (Node.js),PowerShell,Python,R","Yes, possible languages: KQL, Python, R",yes,Sharding,yes,"Spark connector (open source):,github.com/Azure/azure-kusto-spark","Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,Azure Active Directory Authentication
Apache Derby,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",Relational DBMS,,"Score,3.06,Rank,#85,Overall,#47,Relational DBMS",db.apache.org/derby,db.apache.org/derby/manuals/index.html,Apache Software Foundation,1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no,,Java,All OS with a Java VM,yes,yes,yes,yes,yes,JDBC,Java,Java Stored Procedures,yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
QuestDB,"A high performance open source SQL database for,time series data",Time Series DBMS,Relational DBMS,"Score,3.05,Rank,#86,Overall,#7,Time Series DBMS",questdb.com,questdb.com/docs,QuestDB Technology Inc,2014.0,,Open Source,Apache 2.0,no,,"Java (Zero-GC), C++, Rust","Linux,macOS,Windows",yes,yes,no,no,SQL with time-series extensions,"HTTP REST,InfluxDB Line Protocol (TCP/UDP),JDBC,PostgreSQL wire protocol","C,C++,Go,Java,JavaScript (Node.js),Python,Rust",no,no,horizontal partitioning (by timestamps),Source-replica replication with eventual consistency,no,Immediate Consistency,no,ACID for single-table writes,yes,yes,yes,
Qdrant,A high-performance vector database with neural network or semantic-based matching,Vector DBMS,,"Score,2.92,Rank,#87,Overall,#7,Vector DBMS","github.com/qdrant/qdrant,qdrant.tech",qdrant.tech/documentation,Qdrant,2021.0,,Open Source,Apache Version 2.0,no,,Rust,"Docker,Linux,macOS,Windows",schema-free,"Numbers, Strings, Geo, Boolean",no,yes,no,"gRPC,OpenAPI 3.0,RESTful HTTP/JSON API",".Net,Go,Java,JavaScript (Node.js),Python,Rust",,,Sharding,Collection-level replication,no,"Eventual Consistency, tunable consistency",,,yes,yes,yes,Key-based authentication
RocksDB,Embeddable persistent key-value store optimized for fast storage (flash and RAM),Key-value store,,"Score,2.92,Rank,#88,Overall,#12,Key-value stores",rocksdb.org,github.com/facebook/rocksdb/wiki,"Facebook, Inc.",2013.0,"9.4.0, June 2024",Open Source,BSD,no,,C++,Linux,schema-free,no,no,no,no,"C++ API,Java API","C,C++,Go,Java,Perl,Python,Ruby",no,,horizontal partitioning,yes,no,,no,yes,yes,yes,yes,no
ArangoDB,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.","Document store,Graph DBMS,Key-value store,Search engine",,"Score,2.90,Rank,#89,Overall,#14,Document stores,#4,Graph DBMS,#13,Key-value stores,#9,Search engines",arangodb.com,docs.arangodb.com,ArangoDB Inc.,2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no,,C++,"Linux,OS X,Windows",schema-free,yes,,yes,no,"AQL,Foxx Framework,Graph API (Gremlin),GraphQL query language,HTTP API,Java & SpringData,JSON style queries,VelocyPack/VelocyStream","C#,C++,Clojure,Elixir,Go,Java,JavaScript (Node.js),PHP,Python,R,Rust",JavaScript,no,Sharding,Source-replica replication with configurable replication factor,no,"Eventual Consistency,Immediate Consistency,OneShard (highly available, fault-tolerant deployment mode with ACID semantics)",yes,ACID,yes,yes,,yes
OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL","Relational DBMS,Vector DBMS","Document store,Wide column store","Score,2.82,Rank,#90,Overall,#48,Relational DBMS,#8,Vector DBMS",en.oceanbase.com,en.oceanbase.com/docs/oceanbase-database,OceanBase,2010.0,"4.3.0, April 2024",Open Source,Commercial license available,no,,C++,Linux,yes,yes,yes,yes,yes,"JDBC,ODBC,ODP.NET,Oracle Call Interface (OCI),Proprietary native API,Table API","Ada,C,C++,D,Delphi,Eiffel,Erlang,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl","PL/SQL in oracle-compatible mode, MySQL Stored Procedure in mysql-compatible mode",yes,"horizontal partitioning (by hash, key, range, range columns, list, and list columns)",Multi-source replication using Paxos,no,Immediate Consistency,yes,ACID,yes,yes,,"Access rights for users, groups and roles according to SQL-standard"
GemFire,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",Key-value store,Document store,"Score,2.81,Rank,#91,Overall,#14,Key-value stores",network.tanzu.vmware.com/products/pivotal-gemfire,docs.vmware.com/en/VMware-GemFire/index.html,VMware,2004.0,"9.15, June 2022",commercial,,no,,Java,"All OS with a Java VM,Linux,Windows",schema-free,yes,no,yes,"Supports Object Query Language, a SQL-like query language for object-oriented data models","Memcached protocol,Redis API,RESTful HTTP API",".Net,C++,Java,JavaScript (Node.js)",yes,yes,Sharding,"yes, with automatic redundancy recovery",,Immediate Consistency,no,yes,yes,yes,yes,Role-based access control
Google Cloud Spanner,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",Relational DBMS,,"Score,2.81,Rank,#92,Overall,#49,Relational DBMS",cloud.google.com/spanner,cloud.google.com/spanner/docs,Google,2017.0,,commercial,,yes,,,hosted,yes,yes,no,yes,yes,"gRPC (using protocol buffers) API,JDBC,RESTful HTTP API","Go,Java,JavaScript (Node.js),Python",no,no,Sharding,Multi-source replication with 3 replicas for regional instances.,yes,Immediate Consistency,yes,ACID,yes,yes,no,"Access rights for users, groups and roles based on,Google Cloud Identity and Access Management (IAM)"
Adabas,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,Multivalue DBMS,,"Score,2.77,Rank,#93,Overall,#1,Multivalue DBMS",www.softwareag.com/en_corporate/platform/adabas-natural.html,,Software AG,1971.0,,commercial,,no,,,"BS2000,Linux,Unix,Windows,z/OS,z/VSE",yes,yes,no,yes,yes,"HTTP API,SOAP-based API",Natural,in Natural,no,"yes, with additonal products like Adabas Cluster Services, Adabas Parallel Services, Adabas Vista","yes, with add-on product Event Replicator",no,Immediate Consistency,no,ACID,yes,yes,no,"only with OS-specific tools (e.g. IBM RACF, CA Top Secret)"
HyperSQL,"Multithreaded, transactional,RDBMS,written in Java",Relational DBMS,,"Score,2.74,Rank,#94,Overall,#50,Relational DBMS",hsqldb.org,hsqldb.org/web/hsqlDocsFrame.html,,2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no,,Java,All OS with a Java VM,yes,yes,no,yes,yes,"HTTP API,JDBC,ODBC","All languages supporting JDBC/ODBC,Java","Java, SQL",yes,none,none,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Microsoft Azure Table Storage,"A,Wide Column Store,for rapid development using massive semi-structured datasets",Wide column store,,"Score,2.71,Rank,#95,Overall,#6,Wide column stores",azure.microsoft.com/en-us/services/storage/tables,,Microsoft,2012.0,,commercial,,yes,,,hosted,schema-free,yes,no,no,no,RESTful HTTP API,".Net,C#,C++,Java,JavaScript (Node.js),PHP,Python,Ruby",no,no,Sharding,yes,no,Immediate Consistency,no,optimistic locking,yes,yes,no,Access rights based on private key authentication or shared access signatures
OrientDB,"Multi-model DBMS (Document, Graph, Key/Value)","Document store,Graph DBMS,Key-value store",,"Score,2.64,Rank,#96,Overall,#15,Document stores,#5,Graph DBMS,#15,Key-value stores",orientdb.org,www.orientdb.com/docs/last/index.html,OrientDB LTD; CallidusCloud; SAP,2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no,,Java,All OS with a Java JDK (>= JDK 6),schema-free,yes,no,yes,"SQL-like query language, no joins","Tinkerpop technology stack with Blueprints, Gremlin, Pipes,Java API,RESTful HTTP/JSON API",".Net,C,C#,C++,Clojure,Java,JavaScript,JavaScript (Node.js),PHP,Python,Ruby,Scala","Java, Javascript",Hooks,Sharding,Multi-source replication,no,,yes,ACID,yes,yes,,Access rights for users and roles; record level security configurable
GraphDB,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.","Graph DBMS,RDF store",,"Score,2.62,Rank,#97,Overall,#6,Graph DBMS,#2,RDF stores",www.ontotext.com,graphdb.ontotext.com/documentation,"Ontotext, trading as Graphwise",2000.0,"11.0, July 2025",commercial,Some plugins of GraphDB Workbench are open sourced,no,,Java,"All OS with a Java VM,Linux,OS X,Windows",schema-free and OWL/RDFS-schema support; RDF shapes,yes,no,"yes, supports real-time synchronization and indexing in SOLR/Elastic search/Lucene and GeoSPARQL geometry data indexes",stored SPARQL accessed as SQL using Apache Calcite through JDBC/ODBC,"GeoSPARQL,GraphQL,GraphQL Federation,Java API,JDBC,RDF4J API,RDFS,RIO,Sail API,Sesame REST HTTP Protocol,SPARQL 1.1",".Net,C#,Clojure,Java,JavaScript (Node.js),PHP,Python,Ruby,Scala",well-defined plugin interfaces; JavaScript server-side extensibility,no,none,Multi-source replication,no,"Immediate Consistency, Eventual consistency (configurable in cluster mode per master or individual client request)",yes,ACID,yes,yes,,"Default Basic authentication through RDF4J client, or via Java when run with cURL, default token-based in the Workbench or via Rest API, optional access through OpenID or Kerberos single sign-on."
Google Cloud Bigtable,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.","Key-value store,Wide column store",,"Score,2.60,Rank,#98,Overall,#16,Key-value stores,#7,Wide column stores",cloud.google.com/bigtable,cloud.google.com/bigtable/docs,Google,2015.0,,commercial,,yes,,,hosted,schema-free,no,no,no,"Yes. As of 2025, Google Cloud Bigtable supports SQL as a generally available feature. It is based on GoogleSQL and includes support for JSON functions, VIEWs, continuous materialized views, and map types and other features for working with collections of data, i.e the NoSQL data that is traditionally stored in Bigtable's NoSQL model.","gRPC (using protocol buffers) API,HappyBase (Python library),HBase compatible API (Java)","C#,C++,Go,Java,JavaScript (Node.js),Python,SQL",no,no,Sharding,"Internal replication in Colossus, and regional replication between two clusters in different zones",yes,"Immediate consistency (for a single cluster), Eventual consistency (for two or more replicated clusters)",no,Atomic single-row operations,yes,yes,no,"Access rights for users, groups and roles based on,Google Cloud Identity and Access Management (IAM)"
Virtuoso,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine",Spatial DBMS,"Score,2.57,Rank,#99,Overall,#16,Document stores,#7,Graph DBMS,#2,Native XML DBMS,#51,Relational DBMS,#3,RDF stores,#10,Search engines",virtuoso.openlinksw.com,docs.openlinksw.com/virtuoso,OpenLink Software,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no,,C,"AIX,FreeBSD,HP-UX,Linux,OS X,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,GeoSPARQL,HTTP API,JDBC,Jena RDF API,ODBC,OLE DB,RDF4J API,RESTful HTTP API,Sesame REST HTTP Protocol,SOAP webservices,SPARQL 1.1,WebDAV,XPath,XQuery,XSLT",".Net,C,C#,C++,Java,JavaScript,Perl,PHP,Python,Ruby,Visual Basic",yes,yes,yes,"Chain, star, and bi-directional replication,Multi-source replication,Source-replica replication",yes,Immediate Consistency,yes,ACID,yes,yes,yes,"Fine-grained Attribute-Based Access Control (ABAC) in addition to typical coarse-grained Role-Based Access Control (RBAC) according to SQL-standard. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos)"
RavenDB,Open Source Operational and Transactional Enterprise NoSQL Document Database,Document store,"Graph DBMS,Spatial DBMS,Time Series DBMS","Score,2.52,Rank,#100,Overall,#17,Document stores",ravendb.net,ravendb.net/docs,Hibernating Rhinos,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no,,C#,"Linux,macOS,Raspberry Pi,Windows",schema-free,no,,yes,SQL-like query language (RQL),".NET Client API,F# Client API,Go Client API,Java Client API,NodeJS Client API,PHP Client API,Python Client API,RESTful HTTP API",".Net,C#,F#,Go,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,Multi-source replication,yes,Default ACID transactions on the local node (eventually consistent across the cluster). Atomic operations with cluster-wide ACID transactions. Eventual consistency for indexes and full-text search indexes.,no,"ACID, Cluster-wide transaction available",yes,yes,,Authorization levels configured per client per database
IBM Cloudant,"Database as a Service offering based on,Apache CouchDB",Document store,,"Score,2.51,Rank,#101,Overall,#18,Document stores",www.ibm.com/products/cloudant,cloud.ibm.com/docs/Cloudant,"IBM, Apache Software Foundation",2010.0,,commercial,,yes,,Erlang,hosted,schema-free,no,no,yes,no,RESTful HTTP/JSON API,"C#,Java,JavaScript,Objective-C,PHP,Ruby",View functions (Map-Reduce) in JavaScript,yes,Sharding,"Multi-source replication,Source-replica replication",yes,Eventual Consistency,no,no,yes,yes,no,Access rights for users can be defined per database
Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",Search engine,,"Score,2.49,Rank,#102,Overall,#11,Search engines",www.coveo.com,docs.coveo.com,Coveo,2012.0,,commercial,,yes,,,hosted,"hybrid - fields need to be configured prior to indexing, but relationships can be exploited at query time without pre-configuration",yes,no,yes,no,RESTful HTTP API,"C#,Java,JavaScript,Python",no,yes,yes,yes,no,Immediate Consistency,yes,yes,yes,yes,,"granular access controls, API key management, content filters"
Amazon Neptune,"Fast, reliable graph database built for the cloud","Graph DBMS,RDF store",,"Score,2.38,Rank,#103,Overall,#8,Graph DBMS,#4,RDF stores",aws.amazon.com/neptune,aws.amazon.com/neptune/developer-resources,Amazon,2017.0,,commercial,,yes,,,hosted,schema-free,yes,no,no,no,"OpenCypher,RDF 1.1 / SPARQL 1.1,TinkerPop Gremlin","C#,Go,Java,JavaScript,PHP,Python,Ruby,Scala",no,no,none,"Multi-availability zones high availability, asynchronous replication for up to 15 read replicas within a single region. Global database clusters consists of a primary write DB cluster in one region, and up to five secondary read DB clusters in different regions. Each secondary region can have up to 16 reader instances.",no,Immediate Consistency,yes,ACID,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
Apache Jena - TDB,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",RDF store,,"Score,2.37,Rank,#104,Overall,#5,RDF stores",jena.apache.org/documentation/tdb/index.html,jena.apache.org/documentation/tdb/index.html,Apache Software Foundation,2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no,,Java,All OS with a Java VM,yes,yes,,yes,no,"Fuseki,Jena RDF API,RIO",Java,yes,yes,none,none,no,,,ACID,yes,yes,,Access control via Jena Security
Memgraph,An open source graph database built for real-time streaming and compatible with Neo4j,Graph DBMS,,"Score,2.37,Rank,#105,Overall,#9,Graph DBMS",memgraph.com,memgraph.com/docs,Memgraph Ltd,2017.0,,Open Source,BSL 1.1; commercial license for enterprise edition available,no,,C and C++,Linux,schema-free and schema-optional,yes,no,,no,"Bolt protocol,Cypher query language",".Net,C,C++,Elixir,Go,Haskell,Java,JavaScript,PHP,Python,Ruby,Scala",,,Sharding,Multi-source replication using RAFT,no,Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,"Users, roles and permissions"
SAP IQ,Columnar RDBMS optimized for Big Data analytics,Relational DBMS,,"Score,2.35,Rank,#106,Overall,#52,Relational DBMS",www.sap.com/products/technology-platform/sybase-iq-big-data-management.html,help.sap.com/docs/SAP_IQ,"SAP, formerly Sybase",1994.0,"16.1 SPS04, April 2019",commercial,,no,,,"AIX,HP-UX,Linux,Solaris,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,RESTful HTTP API","C,C#,C++,Java,Perl,PHP,Python,Ruby",yes,yes,shared disk or shared nothing architectures with SAP IQ Multiplexer,SAP/Sybase Replication Server,Hadoop integration,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Apache Accumulo,,Wide column store,,"Score,2.28,Rank,#107,Overall,#8,Wide column stores",accumulo.apache.org,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no,,Java,,,,,,,,,,,,,,,,,,,,
RethinkDB,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,Document store,Spatial DBMS,"Score,2.28,Rank,#108,Overall,#19,Document stores",rethinkdb.com,rethinkdb.com/docs,The Linux Foundation,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no,,C++,"Linux,OS X,Windows",schema-free,yes,no,yes,no,,"C,C#,C++,Clojure,Dart,Erlang,Go,Haskell,Java,JavaScript (Node.js),Lisp,Lua,Objective-C,Perl,PHP,Python,Ruby,Scala",,Client-side triggers through changefeeds,Sharding,Source-replica replication,yes,Immediate Consistency,no,Atomic single-document operations,yes,yes,no,yes
Weaviate,An AI-native realtime vector database engine that integrates scalable machine learning models.,Vector DBMS,,"Score,2.28,Rank,#109,Overall,#9,Vector DBMS","github.com/weaviate/weaviate,weaviate.io",weaviate.io/developers/weaviate,Weaviate B.V.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no,,Go,,"yes, maps to GraphQL interface",yes,no,yes,GraphQL is used as query language,"GraphQL query language,RESTful HTTP/JSON API","JavaScript / TypeScript,Python",no,no,Sharding,yes,no,Eventual Consistency,no,no,yes,yes,yes,"API Keys,OpenID Connect Discovery"
NebulaGraph,"A distributed, linear scalable, high perfomant,Graph DBMS",Graph DBMS,,"Score,2.26,Rank,#110,Overall,#10,Graph DBMS","github.com/vesoft-inc/nebula,www.nebula-graph.io",docs.nebula-graph.io,Vesoft Inc.,2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no,,C++,Linux,Strong typed schema,yes,no,yes,SQL-like query language,"Browser interface,console (shell),Cypher Query Language,GO Object Graph Mapper,Java Object Graph Mapper,NGBatis,Proprietary native API,Python Object Graph Mapper,Query language nGQL",".Net,C++,Go,Java,PHP,Python",user defined functions,,Sharding,Causal Clustering using Raft protocol,no,Immediate Consistency,yes,ACID,yes,yes,yes,Role-based access control
Chroma,Chroma is an open-source vector DBMS.,Vector DBMS,,"Score,2.22,Rank,#111,Overall,#10,Vector DBMS",www.trychroma.com,docs.trychroma.com,Chroma,,,Open Source,Apache-2.0 license,no,,,,,,,,,,,,,,,,,,,,,,
InterSystems IRIS,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability","Document store,Key-value store,Object oriented DBMS,Relational DBMS",,"Score,2.17,Rank,#112,Overall,#20,Document stores,#17,Key-value stores,#1,Object oriented DBMS,#53,Relational DBMS",www.intersystems.com/products/intersystems-iris,docs.intersystems.com/irislatest/csp/docbook/DocBook.UI.Page.cls,InterSystems,2018.0,"2023.3, June 2023",commercial,,no,,,"AIX,Linux,macOS,Ubuntu,Windows",depending on used data model,yes,yes,yes,yes,"JDBC,ODBC,RESTful HTTP API",".Net,C++,Java,JavaScript (Node.js),Python",yes,yes,Sharding,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,yes
"UniData,UniVerse",MultiValue database and application server with SQL mapping layer and meta database capabilities,Multivalue DBMS,,"Score,2.12,Rank,#113,Overall,#2,Multivalue DBMS",www.rocketsoftware.com/products/rocket-multivalue-application-development-platform/rocket-unidata,docs.rocketsoftware.com/bundle?cluster=true&labelkey=unidata&labelkey=prod_unidata,Rocket Software,1985.0,,commercial,,no,,C,"AIX,HP-UX,Linux,Solaris,Windows",schema-free,optional,,yes,yes,"Java API,JDBC,ODBC,OLE DB,Proprietary protocol,RESTful HTTP API,SOAP-based API",".Net,Basic,C,Java",yes,yes,none,Source-replica replication,no,,no,ACID,yes,yes,,Access rights according to SQL-standard and operating system based
YugabyteDB,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",Relational DBMS,"Document store,Wide column store","Score,2.00,Rank,#114,Overall,#54,Relational DBMS",www.yugabyte.com,"docs.yugabyte.com,github.com/yugabyte/yugabyte-db",Yugabyte Inc.,2017.0,"2024.2, December 2024",Open Source,Apache 2.0,no,,C and C++,"Linux,OS X",depending on used data model,yes,no,yes,"yes, PostgreSQL compatible","JDBC,YCQL, an SQL-based flexible-schema API with its roots in Cassandra Query Language,YSQL - a fully relational SQL API that is wire compatible with the SQL language in PostgreSQL","C,C#,C++,Go,Java,JavaScript (Node.js),PHP,Python,Ruby,Rust,Scala",yes,yes,"Hash and Range Sharding, row-level geo-partitioning","Based on Raft distributed consensus protocol, minimum 3 replicas for continuous availability",no,Strong consistency on writes and tunable consistency on reads,yes,Distributed ACID with Serializable & Snapshot Isolation. Inspired by Google Spanner architecture.,yes,yes,no,yes
Apache Phoenix,A scale-out RDBMS with evolutionary schema built on Apache HBase,Relational DBMS,,"Score,2.00,Rank,#115,Overall,#55,Relational DBMS",phoenix.apache.org,phoenix.apache.org,Apache Software Foundation,2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no,,Java,"Linux,Unix,Windows",yes,yes,no,yes,yes,JDBC,"C,C#,C++,Go,Groovy,Java,PHP,Python,Scala",user defined functions,no,Sharding,"Multi-source replication,Source-replica replication",Hadoop integration,Immediate Consistency or Eventual Consistency,no,ACID,yes,yes,yes,"Access Control Lists (using HBase ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC, multi-tenancy"
4D,Application development environment with integrated database management system,Relational DBMS,,"Score,2.00,Rank,#116,Overall,#56,Relational DBMS",www.4d.com,developer.4d.com,"4D, Inc",1984.0,"v20, April 2023",commercial,,no,,,"OS X,Windows",yes,yes,yes,yes,yes,"ODBC,RESTful HTTP API,SOAP webservices","4D proprietary IDE,PHP",yes,yes,none,Multi-source replication,no,Immediate Consistency,yes,ACID,yes,yes,no,Users and groups
DolphinDB,"DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.","Time Series DBMS,Vector DBMS",Relational DBMS,"Score,1.99,Rank,#117,Overall,#8,Time Series DBMS,#11,Vector DBMS",www.dolphindb.com,docs.dolphindb.cn/en/help200/index.html,"DolphinDB, Inc",2018.0,"v2.00.4, January 2022",commercial,free community version available,no,,C++,"Linux,Windows",yes,yes,no,yes,SQL-like query language,"JDBC,JSON over HTTP,Kafka,MQTT (Message Queue Telemetry Transport),ODBC,OPC DA,OPC UA,RabbitMQ,WebSocket","C#,C++,Go,Java,JavaScript,MatLab,Python,R,Rust",yes,no,horizontal partitioning,yes,yes,Immediate Consistency,no,yes,yes,yes,yes,"Administrators, Users, Groups"
