DBMS,Rank_Mar-2025,Rank_Feb-2025,Rank_Mar-2024,Database Model,Score_Mar-2025,Score_Feb-2025,Score_Mar-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Google Cloud Spanner,93.0,91.0,97.0,Relational,2.71,-0.12,-0.66,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
GraphDB,94.0,97.0,106.0,Multi-model,2.68,+0.05,-0.22,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.4, October 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no
Google Cloud Bigtable,95.0,96.0,90.0,Multi-model,2.67,-0.04,-1.20,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
Apache Jena - TDB,96.0,93.0,88.0,RDF,2.66,-0.10,-1.31,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no
Microsoft Azure Table Storage,97.0,95.0,71.0,Wide column,2.66,-0.07,-2.69,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
Memgraph,98.0,99.0,105.0,Graph,2.61,+0.06,-0.48,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,Open Source,BSL 1.1; commercial license for enterprise edition available,no
RavenDB,99.0,100.0,95.0,"Document, Multi-model",2.53,+0.00,-0.94,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
GemFire,100.0,102.0,104.0,"Key-value, Multi-model",2.51,+0.07,-0.64,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
IBM Cloudant,101.0,101.0,113.0,Document,2.5,-0.02,-0.29,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
Apache Accumulo,102.0,98.0,92.0,Wide column,2.43,-0.19,-1.35,https://db-engines.com/en/system/Apache+Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no
SAP IQ,103.0,103.0,93.0,Relational,2.33,-0.06,-1.25,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no
RethinkDB,104.0,107.0,110.0,"Document, Multi-model",2.33,+0.03,-0.48,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
OceanBase,105.0,105.0,160.0,"Relational, Multi-model",2.33,-0.03,+0.74,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2010.0,"4.3.0, April 2024",Open Source,Commercial license available,no
DolphinDB,106.0,104.0,85.0,Multi-model,2.29,-0.09,-1.85,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
InterSystems IRIS,107.0,106.0,91.0,Multi-model,2.29,-0.06,-1.53,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2023.3, June 2023",commercial,,no
Coveo,108.0,108.0,122.0,Search engine,2.27,-0.01,-0.18,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
YugabyteDB,109.0,109.0,103.0,"Relational, Multi-model",2.22,-0.03,-0.99,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2024.2, December 2024",Open Source,Apache 2.0,no
LevelDB,110.0,112.0,100.0,Key-value,2.15,+0.03,-1.17,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
Amazon Neptune,111.0,111.0,109.0,Multi-model,2.07,-0.06,-0.75,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
Qdrant,112.0,118.0,176.0,Vector,2.03,+0.10,+0.78,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
Infinispan,113.0,113.0,102.0,Key-value,2.01,0.00,-1.21,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
GridDB,114.0,117.0,137.0,"Time Series, Multi-model",1.98,+0.04,-0.02,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
"UniData,UniVerse",115.0,110.0,89.0,Multivalue,1.97,-0.22,-1.96,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
PouchDB,116.0,120.0,114.0,Document,1.95,+0.08,-0.75,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
MaxDB,117.0,115.0,107.0,Relational,1.95,-0.02,-0.92,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10.12, February 2024",commercial,Limited community edition free,no
Percona Server for MySQL,118.0,116.0,125.0,Relational,1.94,-0.01,-0.41,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.36-28, 2024",Open Source,GPL version 2,no
Citus,119.0,114.0,129.0,"Relational, Multi-model",1.94,-0.04,-0.27,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
Chroma,120.0,121.0,128.0,Vector,1.89,+0.04,-0.39,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no
4D,121.0,119.0,111.0,Relational,1.87,-0.06,-0.93,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no
Apache Phoenix,122.0,122.0,131.0,Relational,1.84,-0.01,-0.26,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,A scale-out RDBMS with evolutionary schema built on Apache HBase,2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
Apache Drill,123.0,128.0,118.0,Multi-model,1.82,+0.08,-0.76,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
LMDB,124.0,124.0,117.0,Key-value,1.81,+0.01,-0.81,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no
IMS,125.0,129.0,142.0,Navigational,1.79,+0.07,-0.15,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
CloudKit,126.0,126.0,108.0,Document,1.78,-0.01,-1.09,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
TDengine,127.0,123.0,116.0,"Time Series, Multi-model",1.76,-0.06,-0.88,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"AGPL V3, also commercial editions available",no
Amazon DocumentDB,128.0,125.0,148.0,Document,1.76,-0.04,-0.04,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
Oracle Berkeley DB,129.0,127.0,112.0,Multi-model,1.74,-0.05,-1.06,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
JanusGraph,130.0,130.0,135.0,Graph,1.73,+0.03,-0.31,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"1.0.0, October 2023",Open Source,Apache 2.0,no
EDB Postgres,131.0,134.0,121.0,"Relational, Multi-model",1.66,+0.02,-0.79,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
Oracle Coherence,132.0,132.0,126.0,Key-value,1.66,-0.01,-0.67,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no
MonetDB,133.0,131.0,149.0,"Relational, Multi-model",1.62,-0.06,-0.17,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no
Amazon SimpleDB,134.0,136.0,145.0,Key-value,1.61,-0.01,-0.29,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
Amazon CloudSearch,135.0,135.0,133.0,Search engine,1.61,-0.03,-0.47,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
Stardog,136.0,137.0,136.0,Multi-model,1.59,-0.01,-0.44,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
Weaviate,137.0,133.0,138.0,Vector,1.58,-0.07,-0.42,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
SpatiaLite,138.0,143.0,140.0,"Spatial, Multi-model",1.56,+0.07,-0.41,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
NebulaGraph,139.0,139.0,124.0,Graph,1.56,-0.02,-0.80,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
RRDtool,140.0,138.0,120.0,Time Series,1.54,-0.05,-0.93,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
Fauna,141.0,142.0,155.0,Multi-model,1.51,+0.02,-0.12,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
EXASOL,142.0,140.0,119.0,Relational,1.49,-0.03,-0.98,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
Datomic,143.0,145.0,132.0,Relational,1.48,+0.03,-0.60,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.7180, July 2024",commercial,limited edition free,no
Empress,144.0,141.0,134.0,Relational,1.46,-0.06,-0.61,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no
Apache IoTDB,145.0,149.0,183.0,Time Series,1.44,+0.02,+0.25,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no
OpenTSDB,146.0,144.0,147.0,Time Series,1.42,-0.05,-0.42,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,Scalable Time Series DBMS based on HBase,2011.0,,Open Source,LGPL,no
jBASE,147.0,147.0,151.0,Multivalue,1.41,-0.04,-0.28,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
GBase,148.0,156.0,193.0,Relational,1.4,+0.08,+0.36,https://db-engines.com/en/system/GBase,,"General Data Technology Co., Ltd.","Widely used RDBMS in China, including analytical, transactional, distributed transactional, and cloud-native data warehousing.",2004.0,"GBase 8a, GBase 8s, GBase 8c",commercial,,no
Tarantool,149.0,155.0,146.0,Multi-model,1.4,+0.07,-0.48,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no
TigerGraph,150.0,148.0,143.0,Graph,1.39,-0.06,-0.53,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
D3,151.0,146.0,167.0,Multivalue,1.38,-0.07,-0.06,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no
VictoriaMetrics,152.0,152.0,162.0,Time Series,1.38,+0.02,-0.20,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no
BaseX,153.0,151.0,141.0,Native XML,1.38,+0.01,-0.58,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"11.2, August 2024",Open Source,BSD license,no
Geode,154.0,153.0,123.0,Key-value,1.35,+0.02,-1.03,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
Tibero,155.0,150.0,139.0,Relational,1.34,-0.05,-0.64,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"7, September 2022",commercial,,no
GridGain,156.0,159.0,158.0,Multi-model,1.32,+0.03,-0.27,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on Apache Ignite",2007.0,GridGain 8.5.1,"commercial, open source",,no
Actian NoSQL Database,157.0,154.0,154.0,Object oriented,1.28,-0.05,-0.37,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no
mSQL,158.0,163.0,170.0,Relational,1.26,+0.06,-0.15,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no
Amazon Timestream,159.0,157.0,198.0,Time Series,1.24,-0.05,+0.21,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
Db4o,160.0,158.0,163.0,Object oriented,1.24,-0.05,-0.34,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no
VoltDB,161.0,162.0,165.0,Relational,1.23,-0.01,-0.28,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
Dgraph,162.0,164.0,164.0,Graph,1.21,+0.01,-0.32,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
Meilisearch,163.0,170.0,173.0,Multi-model,1.2,+0.07,-0.13,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS",,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no
HEAVY.AI,164.0,161.0,127.0,"Relational, Multi-model",1.19,-0.06,-1.11,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
ObjectStore,165.0,165.0,159.0,Object oriented,1.19,-0.01,-0.40,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no
Alibaba Cloud PolarDB,166.0,160.0,266.0,Relational,1.19,-0.08,+0.69,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes
IBM Db2 warehouse,167.0,166.0,156.0,Relational,1.17,0.00,-0.44,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
HFSQL,168.0,171.0,172.0,Relational,1.16,+0.04,-0.18,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no
TimesTen,169.0,167.0,157.0,Relational,1.15,-0.02,-0.44,https://db-engines.com/en/system/TimesTen,,Oracle,An in-memory SQL relational database that delivers microsecond response and high throughput for OLTP applications. TimesTen can be deployed as a standalone database or as a cache to a backend Oracle database.,1998.0,Release 22.1,commercial,,no
Mnesia,170.0,169.0,152.0,Document,1.14,+0.01,-0.50,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no
GigaSpaces,171.0,173.0,191.0,Multi-model,1.14,+0.05,+0.09,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
ObjectBox,172.0,176.0,169.0,Multi-model,1.09,+0.03,-0.32,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS",ObjectBox Limited,"Lightweight, fast on-device database for IoT, Mobile and Embedded devices, persisting and synchronising objects and vectors",2017.0,4.0 (May 2024),Bindings are released under Apache 2.0,Apache License 2.0,no
LiteDB,173.0,172.0,153.0,Document,1.09,-0.02,-0.56,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
Valkey,174.0,182.0,,Key-value,1.07,+0.08,,https://db-engines.com/en/system/Valkey,,,Open source key/value datastore,2024.0,"Valkey 8.0.1, October 2024",Open Source,,no
Giraph,175.0,174.0,178.0,Graph,1.06,0.00,-0.17,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no
Apache Kylin,176.0,178.0,175.0,Relational,1.05,+0.02,-0.21,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
ZODB,177.0,184.0,209.0,Key-value,1.04,+0.06,+0.16,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no
EventStoreDB,178.0,183.0,174.0,Event,1.04,+0.05,-0.25,https://db-engines.com/en/system/EventStoreDB,,Event Store Limited,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",2012.0,"21.2, February 2021",Open Source,,no
Firebolt,179.0,168.0,130.0,Relational,1.03,-0.13,-1.13,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
eXtremeDB,180.0,193.0,239.0,Multi-model,1.01,+0.07,+0.34,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no
StarRocks,181.0,175.0,187.0,Relational,1.01,-0.06,-0.15,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"3.3, June 2024",Open Source,Apache Version 2.0,no
Datameer,182.0,179.0,179.0,Document,1.0,-0.02,-0.24,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
SurrealDB,183.0,188.0,197.0,Multi-model,1.0,+0.05,-0.05,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.5.0, May 2024",Open Source,,no
MatrixOne,184.0,177.0,204.0,Relational,0.99,-0.06,+0.01,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
PlanetScale,185.0,186.0,144.0,"Relational, Multi-model",0.99,+0.03,-0.93,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
Amazon Keyspaces,186.0,185.0,211.0,Wide column,0.98,+0.02,+0.12,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available Cassandra–compatible database service",2019.0,,commercial,,yes
SQLBase,187.0,181.0,171.0,Relational,0.98,-0.03,-0.41,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no
openGauss,188.0,180.0,186.0,"Relational, Multi-model",0.97,-0.03,-0.19,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no
FoundationDB,189.0,190.0,166.0,Multi-model,0.96,+0.02,-0.54,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
Oracle Rdb,190.0,189.0,180.0,Relational,0.96,+0.01,-0.27,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no
NCache,191.0,198.0,181.0,"Key-value, Multi-model",0.95,+0.05,-0.26,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3.3, April 2024",Open Source,Enterprise Edition available,no
Vitess,192.0,197.0,185.0,"Relational, Multi-model",0.93,+0.02,-0.24,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
Apache HAWQ,193.0,191.0,190.0,Relational,0.93,-0.01,-0.17,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no
TDSQL for MySQL,194.0,201.0,214.0,"Relational, Multi-model",0.93,+0.04,+0.08,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes
IDMS,195.0,199.0,212.0,Navigational,0.93,+0.03,+0.07,https://db-engines.com/en/system/IDMS,,Broadcom (formerly CA Technologies),,1973.0,18.5,commercial,,no
GT.M,196.0,195.0,177.0,Key-value,0.91,0.00,-0.32,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
DataEase,197.0,187.0,184.0,Relational,0.91,-0.04,-0.26,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
NonStop SQL,198.0,196.0,189.0,Relational,0.91,-0.01,-0.21,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no
Alibaba Cloud MaxCompute,199.0,200.0,220.0,Relational,0.9,+0.01,+0.11,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes
